Date,Slope,R-Value
2010-01-01,nan,nan
2010-01-04,nan,nan
2010-01-05,nan,nan
2010-01-09,nan,nan
2010-01-10,nan,nan
2010-01-11,nan,nan
2010-01-15,nan,nan
2010-01-16,nan,nan
2010-01-17,nan,nan
2010-01-18,nan,nan
2010-01-20,nan,nan
2010-01-21,nan,nan
2010-01-24,nan,nan
2010-01-25,nan,nan
2010-01-28,nan,nan
2010-01-29,nan,nan
2010-01-30,nan,nan
2010-02-01,nan,nan
2010-02-02,nan,nan
2010-02-03,nan,nan
2010-02-04,1.3626258621803642,0.47830217848992523
2010-02-05,0.088783844847809892,0.093196902944228263
2010-02-06,-0.26361090356647704,-0.27353693538771789
2010-02-07,0.22285411938342137,0.15042952208703497
2010-02-08,-0.032050629979545782,-0.029603019459323331
2010-02-09,0.032384984158562682,0.014132969970957296
2010-02-10,0.3391232328972848,0.27468907995474195
2010-02-11,0.46263305730203302,0.29093968602509795
2010-02-12,0.5492410265270844,0.46325815166836193
2010-02-13,0.51711120454593207,0.37742260730412563
2010-02-14,-0.32462930971742876,-0.2083985499004895
2010-02-15,1.4240707708043736,0.40967527433741885
2010-02-16,0.33915956427665817,0.23357684338926565
2010-02-17,-0.19615529539934304,-0.18222812071636857
2010-02-18,nan,nan
2010-02-19,-0.37778199061061629,-0.38877389979773724
2010-02-20,0.34497109148411376,0.39123812791959434
2010-02-21,0.13677184048446481,0.091240895435740599
2010-02-22,-0.062587680763113177,-0.09512954452053167
2010-02-23,0.3207314234986518,0.36331195803507355
2010-02-24,0.21614985593974634,0.42341552666965304
2010-02-25,0.24044356060316213,0.14602319442818987
2010-02-26,0.26180729606734265,0.10014471099253067
2010-02-27,-1.2277444906745067,-0.46829897798192788
2010-02-28,-0.28690364972450338,-0.10146406524796409
2010-03-01,nan,nan
2010-03-02,nan,nan
2010-03-03,-0.22189243716901064,-0.29229179667226235
2010-03-04,nan,nan
2010-03-05,nan,nan
2010-03-06,nan,nan
2010-03-07,nan,nan
2010-03-08,nan,nan
2010-03-09,nan,nan
2010-03-10,nan,nan
2010-03-11,nan,nan
2010-03-12,0.02592491972458701,0.047396238124689537
2010-03-13,0.84321297662431483,0.6679622911070574
2010-03-14,-0.14010740664080173,-0.059916289715045749
2010-03-15,-0.19024171935684772,-0.18459990916128002
2010-03-16,0.43644096425001039,0.1170591128074281
2010-03-17,0.8905025998090631,0.32463799531910897
2010-03-18,0.35939242025955587,0.10105879606218791
2010-03-19,1.1341215911747526,0.25315291842274501
2010-03-20,-0.70493571066171568,-0.23835686100385706
2010-03-21,0.26129477553111674,0.038117165750752142
2010-03-22,nan,nan
2010-03-23,nan,nan
2010-03-24,0.059739107304900715,0.027476316946222799
2010-03-25,0.78636389036798537,0.23344023176466563
2010-03-26,nan,nan
